Rank,Company Name,Country,Number of Employees,"Previous 
Rank","Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)"
1,Walmart,USA,2300000,1,500343,0.03,9862,-0.277,204522
2,State Grid,China,913546,2,348903,0.107,9533.4,-0.004,585278
3,Sinopec Group,China,667793,3,326953,0.222,1537.8,0.222,346545
4,China National Petroleum,China,1470193,4,326008,0.242,-690.5,-1.37,629411
5,Royal Dutch Shell,Netherlands,84000,7,311870,0.299,12977,1.837,407097
6,Toyota Motor,Japan,369124,5,265172,0.041,22510.1,0.332,473133
7,Volkswagen,Germany,642292,6,260028,0.082,13107.3,1.208,506956
8,BP,Britain,74000,12,244582,0.311,3389,28.47,276515
9,Exxon Mobil,USA,71200,10,244363,0.174,19710,1.514,348691
10,Berkshire Hathaway,USA,377000,8,242137,0.083,44940,0.867,702095
11,Apple,USA,123000,9,229234,0.063,48351,0.058,375319
12,Samsung Electronics,South Korea,320671,15,211940,0.218,36575.4,0.893,281905.9
13,McKesson,USA,68000,11,208357,0.049,67,-0.987,60381
14,Glencore,Switzerland,82681,16,205476,0.182,5777,3.189,135593
15,UnitedHealth Group,USA,260000,13,201159,0.088,10558,0.505,139058
16,Daimler,Germany,289321,17,185235,0.093,11863.9,0.258,306922.4
17,CVS Health,USA,203000,14,184765,0.041,6622,0.245,95131
18,Amazon.com,USA,566000,26,177866,0.308,3033,0.279,13131
19,EXOR Group,Italy,307637,20,161677,0.044,1569.1,1.409,196655.9
20,AT&T,USA,254000,19,160546,-0.02,29450,1.27,444097
21,General Motors,USA,180000,18,157311,-0.055,-3864,-1.41,212482
22,Ford Motor,USA,202000,21,156776,0.033,7602,0.654,257808
23,China State Construction Engineering,China,270467,24,156071,0.08,2675.2,0.073,239680.9
24,Hon Hai Precision Industry,Taiwan,803126,27,154699,0.145,4559.9,-0.011,114528.3
25,AmerisourceBergen,USA,19500,23,153144,0.043,364.5,-0.745,35316.5
26,Industrial & Commer. Bank of China,China,453048,22,153021,0.036,42323.7,0.01,4005995.5
27,AXA,France,95728,25,149461,0.04,6998.9,0.086,1044822.3
28,Total,France,98277,30,149099,0.166,8631,0.393,242631
29,Ping An Insurance,China,342550,39,144197,0.237,13181.4,0.403,997093.8
30,Honda Motor,Japan,215638,29,138646,0.073,9561.3,0.68,181972.8
31,China Construction Bank,China,370415,28,138594,0.026,35845.2,0.029,3397479
32,Trafigura Beheer,Netherlands,3935,54,136421,0.391,847.7,0.129,48607.6
33,Chevron,USA,51900,45,134533,0.251,9195,-,253806
34,Cardinal Health,USA,40400,35,129976,0.069,1288,-0.097,40112
35,Costco,USA,182000,36,129025,0.087,2679,0.14,36347
36,SAIC Motor,China,148767,41,128819,0.131,5091.3,0.057,111107.7
37,Verizon,USA,155400,32,126034,-,30101,1.293,257143
38,Allianz,Germany,140553,34,123532,0.011,7668.4,0.007,1082252.6
39,Kroger,USA,449000,40,122662,0.064,1907,-0.034,37197
40,Agricultural Bank of China,China,491578,38,122366,0.043,28550.4,0.031,3233013.2
41,General Electric,USA,313000,31,122274,-0.035,-5786,-1.655,377945
42,China Life Insurance,China,170517,51,120224,0.147,266.5,0.641,552760.6
