,symbol,date,open,high,low,close,volume
0,WMT,2018-10-26,98.8100,99.6700,98.0200,98.9400,14925551
1,WMT,2018-10-25,98.0100,99.4800,97.0000,99.1800,10737074
2,WMT,2018-10-24,97.5000,99.1700,97.2750,97.5600,10364712
3,WMT,2018-10-23,96.5000,97.9850,96.1100,97.8000,9405824
4,WMT,2018-10-22,97.3400,97.5800,96.7434,97.1400,7122857
5,WMT,2018-10-19,96.0000,97.6500,96.0000,97.1500,8950724
6,WMT,2018-10-18,96.4000,97.2450,95.7400,96.1700,11398373
7,WMT,2018-10-17,95.1800,96.6200,94.9000,96.5600,9539386
8,WMT,2018-10-16,94.7000,96.0700,94.3400,95.8100,11241700
9,WMT,2018-10-15,94.5000,94.9880,93.8200,93.8200,8305499
10,WMT,2018-10-12,94.7600,95.1700,93.6700,94.8100,8553947
11,WMT,2018-10-11,95.8100,96.2900,93.6000,93.9200,9926549
12,WMT,2018-10-10,96.6000,97.8500,95.7000,95.7600,9002831
13,WMT,2018-10-09,95.6400,97.7400,95.1900,97.0800,11598892
14,WMT,2018-10-08,93.2500,94.9300,93.0201,94.6900,5762769
15,WMT,2018-10-05,93.8600,94.1900,92.8900,93.3100,6693436
16,WMT,2018-10-04,94.0700,94.5000,93.2000,94.2100,6045259
17,WMT,2018-10-03,95.5000,95.5400,94.0400,94.0700,6327390
18,WMT,2018-10-02,93.9300,95.6100,93.8500,95.1500,7754550
19,WMT,2018-10-01,94.2900,94.6600,94.0400,94.4000,4995466
20,WMT,2018-09-28,94.2800,94.3700,93.6900,93.9100,6306274
21,WMT,2018-09-27,94.1900,94.9600,93.8200,94.1300,5363446
22,WMT,2018-09-26,95.1000,95.5850,94.5200,94.5900,5918606
23,WMT,2018-09-25,95.9900,96.5200,94.9900,95.1000,6193224
24,WMT,2018-09-24,95.4400,96.0000,94.8600,94.9200,5336981
25,WMT,2018-09-21,95.9200,96.2900,95.6300,95.9000,9530133
26,WMT,2018-09-20,95.3500,95.7900,94.9500,95.7500,5552332
27,WMT,2018-09-19,95.5700,95.8925,94.8800,95.2400,5675135
28,WMT,2018-09-18,94.4600,95.5900,94.1500,95.4300,6760152
29,WMT,2018-09-17,94.7500,95.4800,94.3733,94.8200,5329819
30,WMT,2018-09-14,94.5300,94.8400,94.3500,94.5900,6319383
31,WMT,2018-09-13,95.3200,95.6199,94.9100,95.1200,7652921
32,WMT,2018-09-12,96.2600,96.7400,95.9300,95.9700,5900027
33,WMT,2018-09-11,97.2700,97.6600,96.4900,96.6400,6463535
34,WMT,2018-09-10,96.1100,97.1900,96.0900,96.9000,8332399
35,WMT,2018-09-07,95.8000,96.4801,95.6400,95.8300,6672449
36,WMT,2018-09-06,96.5300,96.7200,96.0100,96.4500,6150827
37,WMT,2018-09-05,95.6700,96.8300,95.3600,96.6200,9474608
38,WMT,2018-09-04,95.8000,96.2700,95.2400,95.3600,8280741
39,WMT,2018-08-31,96.1900,96.4400,95.1100,95.8600,6324813
40,WMT,2018-08-30,95.5000,96.4950,95.4500,96.1000,7058718
41,WMT,2018-08-29,96.2800,96.8300,95.5300,95.6400,7862835
42,WMT,2018-08-28,94.7700,96.3500,94.5300,96.0700,9983002
43,WMT,2018-08-27,95.2600,95.6090,94.2850,94.5400,7040258
44,WMT,2018-08-24,95.0900,95.6600,94.3500,94.9500,8594514
45,WMT,2018-08-23,95.5000,95.8600,95.0600,95.1800,6096381
46,WMT,2018-08-22,96.2000,96.8500,95.2300,95.6700,7765671
47,WMT,2018-08-21,95.9600,96.3600,95.3600,96.0800,10531269
48,WMT,2018-08-20,97.6700,98.2900,95.9500,96.0000,12679293
49,WMT,2018-08-17,97.7700,99.6700,97.6100,97.8500,16463337
50,WMT,2018-08-16,100.1100,100.2100,97.9100,98.6400,42631271
51,WMT,2018-08-15,90.2500,90.4100,89.6700,90.2200,8616900
52,WMT,2018-08-14,89.6400,91.1200,89.6300,90.8500,5836806
53,WMT,2018-08-13,90.2000,90.5400,89.3700,89.6400,5879641
54,WMT,2018-08-10,88.7000,90.3700,88.6500,90.1800,8244853
55,WMT,2018-08-09,89.4600,89.6300,88.7600,89.0100,4727871
