,fromcode,fromname,tocode,toname,rate,lastrefreshed
0,AFN,Afghan Afghani,USD,United States Dollar,0.01335114,2018-10-29 23:24:59
1,ARS,Argentine Peso,USD,United States Dollar,0.02711497,2018-10-29 23:25:09
2,AWG,Aruban Florin,USD,United States Dollar,0.56179774,2018-10-29 23:25:20
3,AUD,Australian Dollar,USD,United States Dollar,0.70601530,2018-10-29 23:25:30
4,AZN,Azerbaijani Manat,USD,United States Dollar,0.58840835,2018-10-29 23:25:40
5,BSD,Bahamian Dollar,USD,United States Dollar,1.00000000,2018-10-29 23:25:50
6,BBD,Barbadian Dollar,USD,United States Dollar,0.50000000,2018-10-29 23:26:03
7,BYN,,USD,United States Dollar,0.47339407,2018-10-29 23:26:14
8,BZD,Belize Dollar,USD,United States Dollar,0.50055060,2018-10-29 23:26:24
9,BMD,Bermudan Dollar,USD,United States Dollar,1.00000000,2018-10-29 23:26:34
10,BOB,Bolivian Boliviano,USD,United States Dollar,0.14577259,2018-10-29 23:26:44
11,BWP,Botswanan Pula,USD,United States Dollar,0.09264320,2018-10-29 23:27:05
12,BGN,Bulgarian Lev,USD,United States Dollar,0.58190280,2018-10-29 23:27:18
13,BRL,Brazilian Real,USD,United States Dollar,0.26903418,2018-10-29 23:27:28
14,BND,Brunei Dollar,USD,United States Dollar,0.72296125,2018-10-29 23:27:39
15,KHR,Cambodian Riel,USD,United States Dollar,0.00024691,2018-10-29 23:27:49
16,KYD,Cayman Islands Dollar,USD,United States Dollar,1.21951220,2018-10-29 23:28:10
17,CLP,Chilean Peso,USD,United States Dollar,0.00144273,2018-10-29 23:28:20
18,CNY,Chinese Yuan,USD,United States Dollar,0.14366990,2018-10-29 23:28:30
19,COP,Colombian Peso,USD,United States Dollar,0.00031397,2018-10-29 23:28:40
20,CRC,,USD,United States Dollar,0.00167563,2018-10-29 23:28:51
21,HRK,Croatian Kuna,USD,United States Dollar,0.15320975,2018-10-29 23:29:01
22,CUP,Cuban Peso,USD,United States Dollar,1.00000000,2018-10-29 23:29:12
23,CZK,Czech Republic Koruna,USD,United States Dollar,0.04397093,2018-10-29 23:29:22
24,DKK,Danish Krone,USD,United States Dollar,0.15243159,2018-10-29 23:29:38
25,DOP,Dominican Peso,USD,United States Dollar,0.02000400,2018-10-29 23:29:48
26,EGP,Egyptian Pound,USD,United States Dollar,0.05592841,2018-10-29 23:30:09
